Country/Region,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,11/1/21,12/1/21,1/1/22,2/1/22,3/1/22,4/1/22,5/1/22,6/1/22
Afghanistan,0,5,192,2171,15836,36796,38282,39371,41425,46498,52513,55059,55733,56517,59939,72977,120216,147501,153260,155191,156284,157359,158107,163555,173879,177782,178899,180419
Albania,0,0,259,782,1143,5396,9606,13806,21202,39014,58316,78992,107931,125506,131185,132337,132523,133121,147369,170778,185497,200173,210224,258543,271702,273759,275167,276221
Algeria,0,1,847,4154,9513,30950,44833,51690,58272,84152,99897,107578,113255,117304,122311,129218,140075,172564,196527,203517,206566,210723,218818,253520,265010,265679,265782,265887
Andorra,0,0,390,745,765,925,1184,2050,4825,6790,8117,9972,10889,12053,13232,13729,13918,14678,15046,15222,15516,17426,23740,35958,38165,40024,41349,42894
Angola,0,0,8,30,86,1164,2729,5114,11035,15251,17568,19829,20854,22399,26815,34752,38965,42815,47781,58076,64458,65183,82398,98226,98746,99194,99287,99761
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11
Antigua and Barbuda,0,0,7,25,26,91,94,101,128,142,159,234,769,1147,1232,1260,1264,1303,1719,3336,4062,4141,4283,6627,7447,7493,7626,8253
Argentina,0,0,1054,4532,17415,196543,428239,765002,1173533,1432570,1629594,1933853,2112023,2363251,2993865,3817139,4491551,4935847,5190948,5258466,5289945,5332629,5674428,8427778,8904176,9039838,9083673,9230573
Armenia,0,1,571,2148,9492,38841,43878,50850,92254,135967,159738,167088,172216,193736,216596,222778,225221,230339,242750,262631,309397,339020,344980,370922,420156,422540,422871,422963
Australia,12,27,4862,6778,7221,17895,25923,27109,27601,27923,28460,28823,28986,29333,29824,30124,30684,34612,56560,109516,173165,213357,462955,2620532,3256772,4628163,5992359,7346124
Austria,0,7,9937,15463,16642,21063,27354,44990,107182,280891,358774,410385,454870,540438,613688,640050,646042,654787,683900,739627,827894,1156022,1274628,1861707,2692641,3868236,4180075,4289988
Azerbaijan,0,3,359,1854,5662,32157,36578,40309,56444,125602,219041,230296,234662,263961,320322,334132,336122,344520,428736,484591,532570,590113,617311,663693,786502,791979,792578,792778
Bahamas,0,0,21,81,102,599,2276,4123,6714,7543,7887,8174,8519,9171,10453,11796,12735,14840,18139,21114,22407,22802,24476,32606,33146,33291,33578,34861
Bahrain,0,47,569,3170,11871,41190,52440,71374,81923,87137,92913,103582,123039,145380,177997,242790,265975,269303,272635,275130,276874,277721,282677,382748,517635,555003,569091,586267
Bangladesh,0,0,54,8238,49534,239860,314946,364987,409252,467225,514500,535582,546801,617764,760584,802305,921559,1264328,1503680,1556758,1569753,1576566,1585909,1811987,1944376,1951658,1952716,1953541
